Stichtag;Raum;Anteil der Einpersonenhaushalte an allen Haushalten;Anteil der Senioren-Einpersonenhaushalte an alle Einpersonenhaushalte;Anteil der Haushalte mit Kindern an alle Haushalte;Anteil der Haushalte mit überwiegender Migrationsvorgeschichte an allen Haushalten;Durchschnittliche Haushaltegröße
31.12.2017;45 Mauritz-Mitte;60,38;12,03;12,59;14,04;1,63
31.12.2017;46 Rumphorst;49,38;15,11;17,88;17,92;1,87
31.12.2017;47 Uppenberg;60,76;7,1;15,21;22,26;1,67
31.12.2017;51 Gievenbeck;49,63;6,52;19,82;30,22;1,93
31.12.2017;52 Sentrup;63,88;6,08;10,33;17,03;1,61
31.12.2017;54 Mecklenbeck;46,65;14,36;17,58;22,02;1,95
31.12.2017;56 Albachten;31,56;18,68;28,82;27,32;2,37
31.12.2017;57 Roxel;44,09;14,1;22,71;25,17;2,07
31.12.2017;58 Nienberge;45,66;15,68;17,76;22,29;1,98
31.12.2017;61 Coerde;41,47;18,19;26,66;48,25;2,16
31.12.2017;62 Kinderhaus-Ost;50,07;14,8;18,46;26,98;1,87
31.12.2017;63 Kinderhaus-West;42,37;17,26;19,96;37,3;2,06
31.12.2017;68 Sprakel;34,04;22,78;27,87;23,06;2,28
31.12.2017;71 Mauritz-Ost;46,58;18,37;18,19;17,56;1,93
31.12.2017;76 Gelmer-Dyckburg;35,05;15,18;24,35;20,99;2,22
31.12.2017;77 Handorf;35,06;25,4;24,34;20,07;2,21
31.12.2017;81 Gremmendorf-West;43,82;11,55;21,02;35,02;2,07
31.12.2017;82 Gremmendorf-Ost;42,42;15,67;21,07;20,82;2,05
31.12.2017;86 Angelmodde;43,37;17,22;22,87;31,48;2,07
31.12.2017;87 Wolbeck;38,21;21,23;22,81;20,16;2,13
31.12.2017;91 Berg Fidel;42,41;17,37;23,86;46,74;2,11
31.12.2017;95 Hiltrup-Ost;36,38;23,74;18,84;19,63;2,07
31.12.2017;96 Hiltrup-Mitte;49,92;18,05;16,27;22,52;1,81
31.12.2017;97 Hiltrup-West;37,19;13;23,79;28,24;2,15
31.12.2017;98 Amelsbüren;32,13;22,68;29,04;21,87;2,38
31.12.2018;11 Aegidii;67,97;9,83;9,12;17,82;1,48
31.12.2018;12 Überwasser;74,83;4,11;4,23;16,43;1,32
31.12.2018;13 Dom;74,98;7,02;4,27;16,66;1,34
31.12.2018;14 Buddenturm;74,43;5,29;6,35;15,55;1,38
31.12.2018;15 Martini;74,02;8,05;5,76;16,11;1,34
31.12.2018;21 Pluggendorf;73,54;6,36;5,21;16,01;1,35
31.12.2018;22 Josef;70,71;6,13;6,96;13,32;1,4
31.12.2018;23 Bahnhof;74,67;2,77;4,33;28,72;1,34
31.12.2018;24 Hansaplatz;74;4,38;7,54;14,88;1,38
31.12.2018;25 Mauritz-West;68,29;5,18;9,75;12,96;1,48
31.12.2018;26 Schlachthof;58,7;11,24;13,08;16,56;1,67
31.12.2018;27 Kreuz;65,53;7,4;10,4;12,34;1,53
31.12.2018;28 Neutor;68,48;3,46;7,17;22,92;1,46
31.12.2018;29 Schloss;60,42;9,17;9,84;16,25;1,6
31.12.2018;31 Aaseestadt;53,75;16,23;15,07;21,6;1,77
31.12.2018;32 Geist;59,28;8,87;14,36;17,94;1,66
31.12.2018;33 Schützenhof;67,48;5,44;10,14;20,42;1,51
31.12.2018;34 Düesberg;47,67;14,31;17,44;18,2;1,93
31.12.2018;43 Hafen;70,69;4,01;5,54;17;1,39
31.12.2018;44 Herz-Jesu;66,51;8,92;10,25;13,76;1,51
31.12.2018;45 Mauritz-Mitte;60,66;11,44;12,36;14,45;1,63
31.12.2018;46 Rumphorst;49,16;14,74;18,38;17,57;1,88
31.12.2018;47 Uppenberg;59,9;7,14;15,04;22,39;1,68
31.12.2018;51 Gievenbeck;49,55;6,91;20;29,26;1,94
31.12.2018;52 Sentrup;64,14;6,07;9,79;16,7;1,61
31.12.2018;54 Mecklenbeck;46,37;14,29;17,25;22,6;1,94
31.12.2018;56 Albachten;31,22;19,32;28,98;27,4;2,38
31.12.2018;57 Roxel;44,63;14,54;22,74;25,69;2,07
31.12.2018;58 Nienberge;45,47;16,06;17,32;23,59;1,99
31.12.2018;61 Coerde;41,6;17,52;26,95;48,52;2,18
31.12.2018;62 Kinderhaus-Ost;49,87;15,5;19,1;27,38;1,89
31.12.2018;63 Kinderhaus-West;42,95;17,54;20,18;37,65;2,05
31.12.2018;68 Sprakel;33,85;24,01;28,61;23,64;2,31
31.12.2018;71 Mauritz-Ost;46,11;18,31;18,43;18,47;1,95
31.12.2018;76 Gelmer-Dyckburg;35,42;14,81;24,13;20,71;2,21
31.12.2018;77 Handorf;35,66;25,69;24,02;20,52;2,2
31.12.2018;81 Gremmendorf-West;44,21;12,65;20,05;28,63;2,03
31.12.2018;82 Gremmendorf-Ost;42,11;14,88;20,63;22,18;2,05
31.12.2018;86 Angelmodde;43,72;17;22,67;31,42;2,05
31.12.2018;87 Wolbeck;37,87;22,18;23,38;20,51;2,14
31.12.2018;91 Berg Fidel;43,39;17,57;23,28;46,04;2,09
31.12.2018;95 Hiltrup-Ost;36,84;24,68;18,22;19,71;2,05
31.12.2018;96 Hiltrup-Mitte;49,52;18,73;16,3;22,59;1,81
31.12.2018;97 Hiltrup-West;37,2;13,89;23,42;28,79;2,14
31.12.2018;98 Amelsbüren;31,79;23,06;29,21;22,61;2,38
