Name,Long,Lat
Maikottenweg,7.6677187,51.9569136
Max-Reger-Straße,7.6430623,51.9076109
Nienberger Schule,7.559951,51.9963784
Nienberger Schule,7.5600338,51.9964734
Rockbusch,7.5755994,51.920002
Malteserstraße,7.6337552,51.8936064
Dorffeldstraße,7.5370195,51.9514295
Kinderhaus Brüningheide,7.5905291,51.9988695
Bredekamp,7.6338679,51.9178725
Rückertstraße,7.6276996,51.8989774
Rieselfelder,7.666401,52.0219427
Westerheide,7.6764002,52.0279829
Ölhafen,7.667806,52.019492
MCC Halle Münsterland,7.6388914,51.9494264
MCC Halle Münsterland,7.6394235,51.9489705
Herz-Jesu-Krankenhaus,7.631276,51.908539
Sankt Mauritz,7.6753037,51.9706135
Am Hohen Ufer,7.691288,51.9271756
Dyckburgstraße,7.6873912,51.9930586
Sudmühle,7.6815993,51.9963619
Heidestraße,7.6735136,51.9228774
Am Kämpken,7.5272234,51.9203607
Langenkamp,7.525033,51.9166105
Albachten Bahnhof,7.5271299,51.9146087
Rubensstraße,7.6741265,51.9058736
Am Kerkamp,7.7094215,52.0050782
Fachklinik Hornheide,7.7072144,52.010767
Wiedau,7.5792544,51.8945838
Martin-Niemöller-Straße,7.6018966,51.9901287
Kinderhaus Schulzentrum,7.6026325,51.9969762
Killingstraße,7.592098,52.0007578
Heinrich-von-Stephan-Ring,7.6934279,51.9131353
Junker-Jörg-Platz,7.6897128,51.9154177
Junker-Jörg-Platz,7.691011,51.9157488
Am Blaukreuzwäldchen,7.6813737,51.9158086
Haltepunkt Zentrum Nord,7.637815,51.9842973
Lange Ossenbeck,7.5978082,51.9370929
Vagedesweg,7.5942709,51.9380873
Pantaleonstraße,7.5313391,51.953956
Hägerstraße,7.5580296,51.9996894
Vagedesweg,7.5937255,51.9384449
Roxel Mitte,7.537139,51.9548271
Zur Walbeke,7.7357645,51.9209987
Hessenweg,7.6723993,52.0124506
Overeskenhoek,7.6700325,52.0164034
Zur Eckernheide,7.6709175,52.0245939
Alfersheide,7.6729303,52.0277065
Raiffeisenstraße,7.5341465,51.9465411
Paul-Gerhardt-Straße,7.5348355,51.9492084
Provinzial,7.6202689,51.9932415
Heidehof,7.6796673,51.9882863
Liboristraße,7.6512148,51.9548948
Von-Holte-Straße,7.7230556,51.9127749
DZ HYP / IHK,7.6123089,51.944253
DZ HYP / IHK,7.6121815,51.9442959
Inselbogen / Sparkassenzentrale,7.6088707,51.9403396
Inselbogen / Sparkassenzentrale,7.6088895,51.9401537
Bezirksregierung II,7.6361944,51.9837592
P+R Weseler Straße,7.6034857,51.9363337
P+R Weseler Straße,7.6029668,51.9361534
Eisenbahnstraße,7.635548,51.9617412
Eisenbahnstraße,7.6350359,51.9609317
Altstadt / Bült,7.6303916,51.9641313
Altstadt / Bült,7.6307468,51.963837
Maximilianstraße,7.6314005,51.9703708
Maximilianstraße,7.6310456,51.9697513
Neubrückentor,7.6299656,51.9677273
Paulinum,7.6191434,51.959281
Buckstraße,7.6063865,51.9382126
Hohenfeld,7.561161,51.9477484
Speicherstadt,7.6347773,51.9962844
Meerhook,7.5361331,51.9246109
An der Alten Ziegelei,7.6647558,51.9973424
Holtschulte,7.5923119,51.9113302
Hauptbahnhof,7.6347121,51.9575975
Hauptbahnhof,7.6341629,51.9573134
Rieselfelder (Linie 256),7.6549486,52.0308028
Gartenbreie,7.569448,51.9597698
Hiltruper Straße,7.7192641,51.9116681
Meckmannweg,7.5710287,51.9295014
Stapelskotten,7.6833503,51.9478685
Averhoff / Rusticus,7.7077384,51.9393476
Kolde-Ring / LVM,7.6162452,51.9492773
Sankt Antonius-Kirche,7.6212409,51.9552835
MCC Halle Münsterland,7.6393548,51.9488915
MCC Halle Münsterland,7.6389598,51.9494698
Hülsenbusch,7.6199014,51.9263542
Meyerbeerstraße,7.5799256,51.9254541
Meyerbeerstraße,7.5787282,51.92518
Germania-Campus,7.6122603,51.9771257
Corrensstraße,7.5970995,51.9710156
Fuggerstraße,7.6254266,51.8916734
Herrenburg,7.6273809,51.893382
Glasuritstraße,7.6503981,51.9049106
Glasuritstraße,7.6507606,51.9049736
Sperlichstraße,7.6107765,51.9492566
Kolde-Ring / LVM,7.6166474,51.9494391
Willy-Brandt-Weg,7.6527812,51.9391515
Willy-Brandt-Weg,7.6537533,51.9382546
Scharnhorststraße,7.6190127,51.9550391
Sankt Antonius-Kirche,7.6216911,51.955216
Paulinum,7.6189778,51.9590728
Sternstraße,7.6399964,51.9576955
Liboristraße,7.6512054,51.9548075
Liboristraße,7.6520639,51.9549243
Picasso-Museum,7.6263088,51.9606742
Lotharingerstraße,7.6314039,51.9667556
Hörstertor,7.635038,51.9657886
Sankt Mauritz,7.67534,51.9705007
Hauptbahnhof,7.6345756,51.9571968
Hauptbahnhof,7.6346117,51.9573269
Hansa-Business-Park,7.5773773,51.8909362
Loddenheide / Beresa,7.6504951,51.9406426
Stadtwerke / Hafen,7.6372647,51.9507825
Stadtwerke / Hafen,7.6372594,51.9503178
Ludgeriplatz,7.6281803,51.9557711
Steiner See,7.6476533,51.8865133
Mecklenbecker Straße,7.5795028,51.934573
Sankt Gottfried-Kirche,7.6124471,51.9310085
Drostenhof,7.7269622,51.9147422
Haus Heidhorn,7.6516258,51.8779614
Haus Heidhorn,7.6511286,51.8786818
Steiner See,7.6474697,51.8857878
